easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
75500.0,87000.0,0.05,0.016,0.298,10292759.283,0.2714511024386496,0.7285488975613503,608000.652019608,332.2012773548539
75548.0,87000.0,0.05,0.016,0.298,10292759.283,0.2714511024386496,0.7285488975613503,,
75596.0,87000.0,0.03,0.004,0.298,10279106.241,0.27063980589518827,0.7293601941048118,,
75644.0,87000.0,0.03,0.004,0.298,10279106.241,0.27063980589518827,0.7293601941048118,1141349.3373653698,355.9180343825186
75692.0,87000.0,0.04,0.004,0.298,10265277.261,0.26981685858324284,0.7301831414167572,,
75739.0,87000.0,0.04,0.004,0.298,10265277.261,0.26981685858324284,0.7301831414167572,,
75787.0,87000.0,0.05,0.008,0.298,10251275.77,0.2689825043781055,0.7310174956218944,339028.47644230945,253.98867736826386
75835.0,87000.0,0.05,0.008,0.298,10251275.77,0.2689825043781055,0.7310174956218944,,
75883.0,87000.0,0.03,0.006,0.298,10237105.133,0.26813698155944893,0.731863018440551,,
75931.0,87000.0,0.03,0.006,0.298,10237105.133,0.26813698155944893,0.731863018440551,915089.1362051707,289.273847141578
75979.0,87000.0,0.06,0.014,0.298,10222768.655,0.26728052299239546,0.7327194770076045,,
76027.0,87000.0,0.06,0.014,0.298,10222768.655,0.26728052299239546,0.7327194770076045,,
76075.0,87000.0,0.05,0.01,0.298,10208269.58,0.2664133563040352,0.7335866436959648,1200533.5100062685,317.1509907708034
76123.0,87000.0,0.05,0.01,0.298,10208269.58,0.2664133563040352,0.7335866436959648,,
76170.0,87000.0,0.05,0.013,0.298,10193611.095,0.26553570405547555,0.7344642959445244,,
76218.0,87000.0,0.05,0.013,0.298,10193611.095,0.26553570405547555,0.7344642959445244,507339.97308746265,390.25310187949526
76266.0,87000.0,0.06,0.015,0.298,10178796.332,0.26464778390937344,0.7353522160906265,,
76314.0,87000.0,0.06,0.015,0.298,10178796.332,0.26464778390937344,0.7353522160906265,,
76362.0,87000.0,0.04,0.007,0.298,10163828.37,0.2637498087929777,0.7362501912070223,457049.2388117962,293.0919599602215
76410.0,87000.0,0.04,0.007,0.298,10163828.37,0.2637498087929777,0.7362501912070223,,
76458.0,87000.0,0.04,0.01,0.298,10148710.234,0.2628419870567387,0.7371580129432613,,
76506.0,87000.0,0.04,0.01,0.298,10148710.234,0.2628419870567387,0.7371580129432613,538579.0346043162,268.44380651279585
76554.0,87000.0,0.06,0.015,0.297,10133444.901,0.26192452262863103,0.7380754773713689,,
76601.0,87000.0,0.06,0.015,0.297,10133444.901,0.26192452262863103,0.7380754773713689,,
76649.0,87000.0,0.06,0.015,0.297,10133444.901,0.26192452262863103,0.7380754773713689,1091100.585004685,295.65320644187295
76697.0,87000.0,0.06,0.016,0.297,10118035.297,0.2609976151642022,0.7390023848357978,,
76745.0,87000.0,0.06,0.016,0.297,10118035.297,0.2609976151642022,0.7390023848357978,,
76793.0,87000.0,0.07,0.022,0.297,10102484.303,0.2600614601924338,0.7399385398075662,760580.5995325991,173.00851660920023
76841.0,87000.0,0.07,0.022,0.297,10102484.303,0.2600614601924338,0.7399385398075662,,
76889.0,87000.0,0.05,0.008,0.297,10086794.754,0.25911624925760973,0.7408837507423902,,
76937.0,87000.0,0.05,0.008,0.297,10086794.754,0.25911624925760973,0.7408837507423902,918560.7337813498,347.1724979165603
76985.0,87000.0,0.05,0.01,0.297,10070969.44,0.25816217005718695,0.741837829942813,,
77032.0,87000.0,0.05,0.01,0.297,10070969.44,0.25816217005718695,0.741837829942813,,
77080.0,87000.0,0.05,0.011,0.297,10055011.108,0.2571994065759528,0.7428005934240471,564444.9087507812,264.32156337838455
77128.0,87000.0,0.05,0.011,0.297,10055011.108,0.2571994065759528,0.7428005934240471,,
77176.0,87000.0,0.03,0.002,0.297,10038922.468,0.25622813921634124,0.7437718607836588,,
77224.0,87000.0,0.03,0.002,0.297,10038922.468,0.25622813921634124,0.7437718607836588,473612.7768286715,241.6093738741033
77272.0,87000.0,0.05,0.013,0.297,10022706.184,0.25524854492532917,0.7447514550746708,,
77320.0,87000.0,0.05,0.013,0.297,10022706.184,0.25524854492532917,0.7447514550746708,,
77368.0,87000.0,0.05,0.007,0.297,10006364.887,0.25426079731782736,0.7457392026821726,303995.85730310396,293.41107872190213
77416.0,87000.0,0.05,0.007,0.297,10006364.887,0.25426079731782736,0.7457392026821726,,
77463.0,87000.0,0.05,0.009,0.297,9989901.168,0.25326506679665955,0.7467349332033404,,
77511.0,87000.0,0.05,0.009,0.297,9989901.168,0.25326506679665955,0.7467349332033404,407062.4321414713,236.66165678257283
77559.0,87000.0,0.03,0.004,0.296,9973317.583,0.2522615206694966,0.7477384793305034,,
77607.0,87000.0,0.03,0.004,0.296,9973317.583,0.2522615206694966,0.7477384793305034,,
77655.0,87000.0,0.06,0.017,0.296,9956616.653,0.2512503232626134,0.7487496767373867,912102.9764200388,260.29974612341937
77703.0,87000.0,0.06,0.017,0.296,9956616.653,0.2512503232626134,0.7487496767373867,,
77751.0,87000.0,0.05,0.009,0.296,9939800.865,0.25023163603167836,0.7497683639683217,,
77799.0,87000.0,0.05,0.009,0.296,9939800.865,0.25023163603167836,0.7497683639683217,828936.0488093129,373.9517118988286
77847.0,87000.0,0.05,0.009,0.296,9939800.865,0.25023163603167836,0.7497683639683217,,
77894.0,87000.0,0.05,0.009,0.296,9922872.675,0.24920561766983737,0.7507943823301626,,
77942.0,87000.0,0.05,0.009,0.296,9922872.675,0.24920561766983737,0.7507943823301626,747660.7647544715,305.22376780116593
77990.0,87000.0,0.03,0.004,0.296,9905834.506,0.24817242421285518,0.7518275757871449,,
78038.0,87000.0,0.03,0.004,0.296,9905834.506,0.24817242421285518,0.7518275757871449,,
78086.0,87000.0,0.03,0.004,0.296,9888688.753,0.2471322091418575,0.7528677908581425,425459.3009376279,271.3920018920189
78134.0,87000.0,0.03,0.004,0.296,9888688.753,0.2471322091418575,0.7528677908581425,,
78182.0,87000.0,0.06,0.013,0.296,9871437.78,0.2460851234834396,0.7539148765165604,,
78230.0,87000.0,0.06,0.013,0.296,9871437.78,0.2460851234834396,0.7539148765165604,243707.39799022005,362.3246217924727
78278.0,87000.0,0.06,0.011,0.296,9854083.925,0.24503131590745864,0.7549686840925414,,
78325.0,87000.0,0.06,0.011,0.296,9854083.925,0.24503131590745864,0.7549686840925414,,
78373.0,87000.0,0.04,0.008,0.296,9836629.496,0.2439709328225468,0.7560290671774532,1767189.9688723136,288.5131671204591
78421.0,87000.0,0.04,0.008,0.296,9836629.496,0.2439709328225468,0.7560290671774532,,
78469.0,87000.0,0.06,0.013,0.296,9819076.779,0.24290411846936474,0.7570958815306352,,
78517.0,87000.0,0.06,0.013,0.296,9819076.779,0.24290411846936474,0.7570958815306352,1176513.5254385388,290.8452386557756
78565.0,87000.0,0.05,0.009,0.295,9801428.03,0.24183101501186374,0.7581689849881362,,
78613.0,87000.0,0.05,0.009,0.295,9801428.03,0.24183101501186374,0.7581689849881362,,
78661.0,87000.0,0.05,0.011,0.295,9783685.485,0.24075176262654435,0.7592482373734557,334639.5273241891,348.34739839406024
78709.0,87000.0,0.05,0.011,0.295,9783685.485,0.24075176262654435,0.7592482373734557,,
78756.0,87000.0,0.06,0.01,0.295,9765851.354,0.2396664995897853,0.7603335004102147,,
78804.0,87000.0,0.06,0.01,0.295,9765851.354,0.2396664995897853,0.7603335004102147,883910.2443405832,284.6498807196315
78852.0,87000.0,0.04,0.005,0.295,9747927.827,0.23857536236342944,0.7614246376365705,,
78900.0,87000.0,0.04,0.005,0.295,9747927.827,0.23857536236342944,0.7614246376365705,,
78948.0,87000.0,0.04,0.005,0.295,9747927.827,0.23857536236342944,0.7614246376365705,776597.7196328635,318.37679022740616
