easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
67200.0,36600.0,0.07,0.027,0.311,9240797.113,0.23491205569944407,0.7650879443005559,1348175.0968184164,342.8917991381782
67273.0,36600.0,0.09,0.025,0.311,9248873.7,0.23435814709304287,0.7656418529069571,,
67345.0,36600.0,0.09,0.025,0.311,9248873.7,0.23435814709304287,0.7656418529069571,,
67418.0,36600.0,0.08,0.03,0.311,9256946.656,0.23380122287264266,0.7661987771273573,,
67490.0,36600.0,0.09,0.037,0.31,9265013.95,0.23324131096640727,0.7667586890335927,,
67563.0,36600.0,0.07,0.018,0.31,9273073.577,0.2326784391973825,0.7673215608026175,,
67635.0,36600.0,0.07,0.018,0.31,9273073.577,0.2326784391973825,0.7673215608026175,695656.2936690869,335.65995238500886
67708.0,36600.0,0.07,0.018,0.31,9281123.561,0.23211263526363726,0.7678873647363628,,
67780.0,36600.0,0.11,0.057,0.31,9289161.96,0.2315439267179175,0.7684560732820825,,
67853.0,36600.0,0.07,0.016,0.31,9297186.865,0.23097234094672633,0.7690276590532736,,
67925.0,36600.0,0.07,0.016,0.31,9297186.865,0.23097234094672633,0.7690276590532736,,
67998.0,36600.0,0.07,0.025,0.31,9305196.408,0.23039790514906017,0.7696020948509399,,
68070.0,36600.0,0.08,0.027,0.31,9313188.761,0.22982064631478877,0.7701793536852113,818953.6852714302,343.127535154898
68143.0,36600.0,0.08,0.027,0.31,9313188.761,0.22982064631478877,0.7701793536852113,,
68215.0,36600.0,0.08,0.03,0.31,9321162.142,0.22924059120292703,0.7707594087970729,,
68288.0,36600.0,0.1,0.042,0.31,9329114.814,0.22865776631978973,0.7713422336802103,,
68361.0,36600.0,0.08,0.029,0.31,9337045.092,0.22807219789739838,0.7719278021026016,,
68433.0,36600.0,0.08,0.029,0.31,9337045.092,0.22807219789739838,0.7719278021026016,,
68506.0,36600.0,0.07,0.024,0.31,9344951.343,0.22748391187196101,0.772516088128039,445560.6356056826,375.07981755197335
68578.0,36600.0,0.09,0.03,0.31,9352831.99,0.22689293386278891,0.773107066137211,,
68651.0,36600.0,0.08,0.027,0.31,9360685.514,0.22629928915185812,0.7737007108481418,,
68723.0,36600.0,0.08,0.027,0.31,9360685.514,0.22629928915185812,0.7737007108481418,,
68796.0,36600.0,0.06,0.015,0.31,9368510.459,0.2257030026638174,0.7742969973361826,,
68868.0,36600.0,0.09,0.044,0.309,9376305.429,0.22510409894702688,0.7748959010529731,,
68941.0,36600.0,0.09,0.044,0.309,9376305.429,0.22510409894702688,0.7748959010529731,1177559.2712744528,354.8340534352379
69013.0,36600.0,0.08,0.028,0.309,9384069.098,0.22450260215549858,0.7754973978445014,,
69086.0,36600.0,0.07,0.015,0.309,9391800.206,0.22389853603196794,0.776101463968032,,
69158.0,36600.0,0.09,0.032,0.309,9399497.563,0.22329192389215777,0.7767080761078422,,
69231.0,36600.0,0.09,0.032,0.309,9399497.563,0.22329192389215777,0.7767080761078422,,
69303.0,36600.0,0.09,0.035,0.309,9407160.051,0.22268278861047497,0.777317211389525,,
69376.0,36600.0,0.07,0.017,0.309,9414786.629,0.22207115260726074,0.7779288473927393,932260.0039570774,344.8987829468422
69449.0,36600.0,0.07,0.017,0.309,9414786.629,0.22207115260726074,0.7779288473927393,,
69521.0,36600.0,0.09,0.03,0.309,9422376.327,0.22145703783764026,0.7785429621623597,,
69594.0,36600.0,0.1,0.046,0.309,9429928.255,0.2208404657821395,0.7791595342178605,,
69666.0,36600.0,0.08,0.034,0.309,9437441.601,0.22022145743898663,0.7797785425610133,,
69739.0,36600.0,0.08,0.034,0.309,9437441.601,0.22022145743898663,0.7797785425610133,,
69811.0,36600.0,0.08,0.027,0.309,9444915.63,0.21960003331866984,0.7803999666813302,1545766.7385343337,359.85078182134805
