easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
56100.0,1100.0,0.07,0.024,0.299,7143939.063,0.16352338049164133,0.8364766195083586,959048.2346809205,307.38583385106165
56188.0,1100.0,0.07,0.02,0.299,7118868.256,0.16308390780849244,0.8369160921915075,,
56276.0,1100.0,0.07,0.018,0.299,7093746.295,0.16264300126965706,0.837356998730343,,
56364.0,1100.0,0.08,0.034,0.299,7068576.27,0.16220068674395283,0.8377993132560472,,
56452.0,1100.0,0.08,0.031,0.299,7043361.278,0.16175699034534724,0.8382430096546527,1105507.394380474,280.6035005897636
56540.0,1100.0,0.08,0.031,0.299,7043361.278,0.16175699034534724,0.8382430096546527,,
56628.0,1100.0,0.11,0.04,0.299,7018104.428,0.16131193843106234,0.8386880615689376,,
56716.0,1100.0,0.07,0.017,0.299,6992808.835,0.1608655575991815,0.8391344424008185,,
56804.0,1100.0,0.08,0.029,0.299,6967477.623,0.1604178746868686,0.8395821253131314,770170.8553908204,255.8952560275675
56892.0,1100.0,0.1,0.042,0.299,6942113.923,0.15996891676828318,0.8400310832317168,,
56980.0,1100.0,0.08,0.029,0.299,6916720.876,0.15951871115277014,0.8404812888472298,,
57068.0,1100.0,0.11,0.052,0.3,6891301.626,0.15906728538311374,0.8409327146168862,,
57156.0,1100.0,0.09,0.037,0.3,6865859.328,0.1586146672338365,0.8413853327661636,307271.5932600455,235.77744670491361
57244.0,1100.0,0.09,0.037,0.3,6865859.328,0.1586146672338365,0.8413853327661636,,
57332.0,1100.0,0.1,0.044,0.3,6840397.14,0.1581608847095223,0.8418391152904777,,
57420.0,1100.0,0.08,0.03,0.3,6814918.23,0.1577059660432907,0.8422940339567093,,
57508.0,1100.0,0.06,0.017,0.3,6789425.77,0.15724993969529014,0.8427500603047099,441873.7160472075,290.8440322373486
57597.0,1100.0,0.09,0.033,0.3,6763922.939,0.15679283435143226,0.8432071656485678,,
57685.0,1100.0,0.09,0.04,0.3,6738412.922,0.15633467892166014,0.8436653210783398,,
57773.0,1100.0,0.08,0.03,0.3,6712898.908,0.15587550253905144,0.8441244974609485,,
57861.0,1100.0,0.07,0.019,0.3,6687384.095,0.15541533455824827,0.8445846654417517,1706035.8994751724,264.3365039346445
57949.0,1100.0,0.07,0.019,0.3,6687384.095,0.15541533455824827,0.8445846654417517,,
58037.0,1100.0,0.09,0.033,0.3,6661871.684,0.15495420455432102,0.8450457954456789,,
58125.0,1100.0,0.08,0.032,0.3,6636364.884,0.15449214232165265,0.8455078576783474,,
58213.0,1100.0,0.1,0.035,0.3,6610866.905,0.1540291778726424,0.8459708221273576,1733396.5413734703,377.1896495843772
58301.0,1100.0,0.07,0.019,0.3,6585380.968,0.15356534143671166,0.8464346585632884,,
58389.0,1100.0,0.1,0.046,0.3,6559910.295,0.1531006634592252,0.8468993365407748,,
58477.0,1100.0,0.08,0.029,0.3,6534458.115,0.1526351746002686,0.8473648253997315,,
58565.0,1100.0,0.09,0.036,0.3,6509027.662,0.15216890573378086,0.8478310942662192,1746741.328803286,315.4053903645847
58653.0,1100.0,0.1,0.04,0.3,6483622.176,0.15170188794625597,0.8482981120537441,,
58741.0,1100.0,0.1,0.04,0.3,6483622.176,0.15170188794625597,0.8482981120537441,,
58829.0,1100.0,0.09,0.029,0.3,6458244.901,0.15123415253604747,0.8487658474639526,,
58917.0,1100.0,0.07,0.02,0.3,6432899.086,0.15076573101206317,0.8492342689879369,1036642.5584291371,275.00094095797544
59005.0,1100.0,0.11,0.051,0.301,6407587.987,0.15029665509286075,0.8497033449071393,,
59093.0,1100.0,0.07,0.019,0.301,6382314.862,0.1498269567056066,0.8501730432943934,,
59181.0,1100.0,0.08,0.023,0.301,6357082.978,0.1493566679848531,0.850643332015147,,
59269.0,1100.0,0.08,0.029,0.301,6331895.605,0.14888582127173314,0.8511141787282669,37411.369912005226,342.40503950151816
59357.0,1100.0,0.09,0.035,0.301,6306756.017,0.14841444911270332,0.8515855508872967,,
59445.0,1100.0,0.09,0.035,0.301,6306756.017,0.14841444911270332,0.8515855508872967,,
59533.0,1100.0,0.09,0.026,0.301,6281667.496,0.14794258425837659,0.8520574157416234,,
59621.0,1100.0,0.07,0.018,0.301,6256633.328,0.14747025966246252,0.8525297403375375,883252.5218530741,318.40912189196325
59709.0,1100.0,0.07,0.018,0.301,6231656.804,0.1469975084806584,0.8530024915193416,,
59797.0,1100.0,0.08,0.028,0.301,6206741.221,0.14652436406908068,0.8534756359309194,,
59885.0,1100.0,0.09,0.029,0.301,6181889.88,0.14605085998330303,0.853949140016697,,
59973.0,1100.0,0.09,0.028,0.301,6157106.088,0.145577029976828,0.854422970023172,586001.6807294722,248.76353461900246
60061.0,1100.0,0.1,0.036,0.301,6132393.159,0.14510290799976644,0.8548970920002336,,
60149.0,1100.0,0.1,0.036,0.301,6132393.159,0.14510290799976644,0.8548970920002336,,
60237.0,1100.0,0.08,0.029,0.301,6107754.409,0.1446285281972935,0.8553714718027066,,
60325.0,1100.0,0.09,0.042,0.301,6083193.162,0.14415392490809015,0.8558460750919099,1322777.2121429928,323.4878865341542
60414.0,1100.0,0.08,0.014,0.301,6058712.747,0.1436791326626868,0.8563208673373132,,
60502.0,1100.0,0.08,0.032,0.301,6034316.497,0.1432041861817173,0.8567958138182827,,
60590.0,1100.0,0.1,0.045,0.301,6010007.751,0.1427291203742683,0.8572708796257317,,
60678.0,1100.0,0.08,0.022,0.302,5985789.855,0.14225397033565013,0.8577460296643499,1689135.9348221272,302.76127860166366
60766.0,1100.0,0.09,0.031,0.302,5961666.158,0.14177877134562678,0.8582212286543732,,
60854.0,1100.0,0.09,0.036,0.302,5937640.015,0.1413035588660373,0.8586964411339627,,
60942.0,1100.0,0.09,0.036,0.302,5937640.015,0.1413035588660373,0.8586964411339627,,
61030.0,1100.0,0.09,0.028,0.302,5913714.786,0.14082836853876735,0.8591716314612327,1681330.4456016014,273.11331841466495
61118.0,1100.0,0.07,0.022,0.302,5889893.837,0.14035323618297077,0.8596467638170292,,
61206.0,1100.0,0.07,0.019,0.302,5866180.539,0.13987819779295763,0.8601218022070424,,
61294.0,1100.0,0.1,0.054,0.302,5842578.266,0.13940328953507053,0.8605967104649295,,
61382.0,1100.0,0.05,0.012,0.302,5819090.4,0.13892854774516192,0.861071452254838,997331.797540616,270.23506103731756
61470.0,1100.0,0.08,0.031,0.302,5795720.325,0.13845400892538515,0.8615459910746148,,
61558.0,1100.0,0.09,0.025,0.302,5772471.432,0.1379797097409898,0.8620202902590102,,
61646.0,1100.0,0.09,0.025,0.302,5772471.432,0.1379797097409898,0.8620202902590102,,
