easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
25700.0,17500.0,0.03,0.003,0.336,11435870.265,0.15165682909870498,0.848343170901295,897959.9055478422,258.5565891072163
25791.0,17500.0,0.03,0.004,0.336,11445803.134,0.1518361614795732,0.8481638385204268,,
25882.0,17500.0,0.07,0.02,0.336,11455616.677,0.1520182319825882,0.8479817680174118,,
25972.0,17500.0,0.04,0.005,0.336,11465310.535,0.15220304600997667,0.8477969539900233,547304.485979968,223.26883294653288
26063.0,17500.0,0.07,0.015,0.336,11474884.351,0.1523906085341309,0.8476093914658691,,
26154.0,17500.0,0.07,0.02,0.336,11484337.776,0.15258092408880822,0.8474190759111918,,
26245.0,17500.0,0.07,0.02,0.336,11484337.776,0.15258092408880822,0.8474190759111918,788341.5353864637,301.4473797125961
26335.0,17500.0,0.04,0.007,0.336,11493670.469,0.15277399676028675,0.8472260032397132,,
26426.0,17500.0,0.05,0.008,0.336,11502882.095,0.15296983017839166,0.8470301698216083,,
26517.0,17500.0,0.04,0.007,0.336,11511972.326,0.15316842750770718,0.8468315724922928,810067.9879694588,364.51252872442063
26608.0,17500.0,0.05,0.01,0.336,11520940.84,0.15336979143855484,0.8466302085614452,,
26699.0,17500.0,0.07,0.022,0.335,11529787.324,0.15357392417817628,0.8464260758218237,,
26789.0,17500.0,0.03,0.004,0.335,11538511.471,0.1537808274419467,0.8462191725580532,974408.6683888055,350.05877282771195
26880.0,17500.0,0.05,0.011,0.335,11547112.984,0.15399050244433393,0.846009497555666,,
26971.0,17500.0,0.04,0.007,0.335,11555591.57,0.15420294989044397,0.845797050109556,,
27062.0,17500.0,0.05,0.009,0.335,11563946.946,0.15441816996700763,0.8455818300329924,860830.0096053598,253.71470449074238
27152.0,17500.0,0.03,0.004,0.335,11572178.838,0.15463616233396713,0.8453638376660328,,
27243.0,17500.0,0.03,0.004,0.335,11572178.838,0.15463616233396713,0.8453638376660328,,
27334.0,17500.0,0.04,0.007,0.335,11580286.978,0.15485692611575058,0.8451430738842494,630027.9247727793,288.2848220658776
27425.0,17500.0,0.03,0.005,0.335,11588271.106,0.1550804598931,0.8449195401069001,,
27516.0,17500.0,0.04,0.005,0.335,11596130.972,0.155306761694447,0.844693238305553,,
27606.0,17500.0,0.05,0.011,0.335,11603866.334,0.1555358289878469,0.8444641710121531,846890.9723479855,293.22949359565314
27697.0,17500.0,0.07,0.017,0.335,11611476.958,0.15576765867295006,0.8442323413270499,,
27788.0,17500.0,0.04,0.005,0.334,11618962.618,0.1560022470730743,0.8439977529269257,,
27879.0,17500.0,0.06,0.016,0.334,11626323.1,0.15623958992744008,0.84376041007256,419311.70336231857,285.51566659503703
27969.0,17500.0,0.05,0.011,0.334,11633558.194,0.15647968238364254,0.8435203176163575,,
28060.0,17500.0,0.07,0.017,0.334,11640667.703,0.15672251899031778,0.8432774810096823,,
28151.0,17500.0,0.04,0.008,0.334,11647651.438,0.1569680936899574,0.8430319063100427,436570.1524153138,329.47804248611686
28242.0,17500.0,0.04,0.008,0.334,11647651.438,0.1569680936899574,0.8430319063100427,,
28333.0,17500.0,0.06,0.014,0.334,11654509.219,0.15721639981203223,0.8427836001879678,,
28423.0,17500.0,0.04,0.006,0.334,11661240.875,0.15746743006637784,0.8425325699336221,633236.2063738952,281.0283509253947
28514.0,17500.0,0.06,0.016,0.334,11667846.245,0.15772117653660933,0.8422788234633907,,
28605.0,17500.0,0.04,0.007,0.334,11674325.177,0.15797763067408868,0.8420223693259113,,
28696.0,17500.0,0.04,0.004,0.334,11680677.529,0.1582367832920416,0.8417632167079584,1035897.6705636029,268.5115627969047
28786.0,17500.0,0.04,0.004,0.334,11686903.169,0.15849862455988417,0.8415013754401158,,
28877.0,17500.0,0.05,0.008,0.333,11693001.974,0.15876314399806216,0.8412368560019379,,
28968.0,17500.0,0.07,0.025,0.333,11698973.832,0.15903033047294873,0.8409696695270512,449596.68884399335,295.74402912470106
29059.0,17500.0,0.03,0.004,0.333,11704818.638,0.15930017219227008,0.8406998278077299,,
29150.0,17500.0,0.03,0.004,0.333,11704818.638,0.15930017219227008,0.8406998278077299,,
29240.0,17500.0,0.03,0.003,0.333,11710536.3,0.15957265670075066,0.8404273432992493,702770.4817807674,253.32890244595924
29331.0,17500.0,0.05,0.012,0.333,11716126.734,0.15984777087625263,0.8401522291237473,,
29422.0,17500.0,0.05,0.01,0.333,11721589.868,0.16012550092599845,0.8398744990740016,,
29513.0,17500.0,0.06,0.014,0.333,11726925.638,0.1604058323834128,0.8395941676165872,611119.6828734465,242.6253585977205
29603.0,17500.0,0.07,0.019,0.333,11732133.991,0.16068875010521064,0.8393112498947893,,
29694.0,17500.0,0.07,0.021,0.333,11737214.884,0.16097423826901308,0.8390257617309869,,
29785.0,17500.0,0.05,0.013,0.333,11742168.284,0.16126228037093032,0.8387377196290697,992987.9865149732,275.1464846519372
29876.0,17500.0,0.05,0.013,0.333,11746994.168,0.16155285922416995,0.83844714077583,,
29966.0,17500.0,0.06,0.015,0.332,11751692.522,0.16184595695738874,0.8381540430426113,,
30057.0,17500.0,0.05,0.011,0.332,11756263.344,0.16214155501395158,0.8378584449860484,266842.41817351157,266.34373487265134
30148.0,17500.0,0.05,0.011,0.332,11756263.344,0.16214155501395158,0.8378584449860484,,
30239.0,17500.0,0.03,0.004,0.332,11760706.64,0.1624396341512084,0.8375603658487916,,
30330.0,17500.0,0.06,0.011,0.332,11765022.429,0.16274017444044908,0.8372598255595509,766298.1548790823,321.173442684048
30420.0,17500.0,0.03,0.004,0.332,11769210.736,0.163043155267055,0.836956844732945,,
30511.0,17500.0,0.03,0.003,0.332,11773271.599,0.16334855533110262,0.8366514446688974,,
30602.0,17500.0,0.05,0.009,0.332,11777205.064,0.16365635264845768,0.8363436473515423,565770.160410735,427.9431629121693
30693.0,17500.0,0.05,0.01,0.332,11781011.187,0.16396652455208355,0.8360334754479164,,
30783.0,17500.0,0.06,0.015,0.332,11784690.035,0.16427904769396032,0.8357209523060397,,
30874.0,17500.0,0.07,0.017,0.332,11788241.682,0.16459389804702798,0.835406101952972,481159.7871547806,286.24758531475936
30965.0,17500.0,0.07,0.023,0.331,11791666.216,0.16491105090789124,0.8350889490921087,,
31056.0,17500.0,0.07,0.02,0.331,11794963.729,0.1652304808997661,0.8347695191002339,,
31147.0,17500.0,0.07,0.02,0.331,11794963.729,0.1652304808997661,0.8347695191002339,465760.48139373277,262.40880254695384
31237.0,17500.0,0.07,0.025,0.331,11798134.326,0.16555216197554862,0.8344478380244513,,
31328.0,17500.0,0.06,0.014,0.331,11801178.12,0.1658760674216198,0.8341239325783802,,
31419.0,17500.0,0.07,0.023,0.331,11804095.233,0.16620216986170083,0.8337978301382991,840849.1928125254,221.80281657345336
31510.0,17500.0,0.05,0.011,0.331,11806885.796,0.1665304412611487,0.8334695587388513,,
31600.0,17500.0,0.05,0.011,0.331,11809549.949,0.16686085293163178,0.8331391470683682,,
31691.0,17500.0,0.04,0.008,0.331,11812087.841,0.16719337553601804,0.832806624463982,793391.3649607009,286.49872317032896
31782.0,17500.0,0.03,0.003,0.331,11814499.629,0.16752797909354647,0.8324720209064536,,
31873.0,17500.0,0.05,0.007,0.33,11816785.478,0.1678646329854363,0.8321353670145637,,
31964.0,17500.0,0.06,0.016,0.33,11818945.562,0.16820330596057925,0.8317966940394208,1007218.9981819376,318.5582321260677
32054.0,17500.0,0.07,0.019,0.33,11820980.064,0.1685439661417515,0.8314560338582485,,
32145.0,17500.0,0.07,0.019,0.33,11820980.064,0.1685439661417515,0.8314560338582485,,
32236.0,17500.0,0.07,0.021,0.33,11822889.172,0.16888658103178902,0.831113418968211,732985.5111833228,312.3274933075582
32327.0,17500.0,0.05,0.01,0.33,11824673.085,0.1692311175200378,0.8307688824799622,,
32417.0,17500.0,0.04,0.006,0.33,11826332.007,0.16957754188945806,0.8304224581105419,,
32508.0,17500.0,0.05,0.007,0.33,11827866.151,0.16992581982325544,0.8300741801767446,596131.8628047742,258.38967109037367
32599.0,17500.0,0.06,0.014,0.33,11829275.737,0.17027591641235804,0.8297240835876419,,
32690.0,17500.0,0.04,0.006,0.33,11830560.99,0.1706277961625028,0.8293722038374972,,
32781.0,17500.0,0.07,0.016,0.329,11831722.144,0.17098142300206046,0.8290185769979396,1096035.367238568,361.34748613924546
32871.0,17500.0,0.05,0.007,0.329,11832759.44,0.17133676028952777,0.8286632397104723,,
32962.0,17500.0,0.05,0.011,0.329,11833673.123,0.17169377082158627,0.8283062291784138,,
33053.0,17500.0,0.08,0.025,0.329,11834463.447,0.17205241684081957,0.8279475831591805,689285.3092387397,322.014368167844
33144.0,17500.0,0.08,0.025,0.329,11834463.447,0.17205241684081957,0.8279475831591805,,
33234.0,17500.0,0.05,0.011,0.329,11835130.669,0.17241266004418934,0.8275873399558107,,
33325.0,17500.0,0.09,0.033,0.329,11835675.054,0.17277446159086648,0.8272255384091335,990816.8737411401,344.0110272109421
