easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
32600.0,52200.0,0.04,0.007,0.273,11646851.426,0.057219211279255305,0.9427807887207447,739544.9124015546,344.94629813608867
32703.0,52200.0,0.05,0.009,0.273,11637591.136,0.057762556839403824,0.9422374431605962,,
32807.0,52200.0,0.02,0.001,0.273,11628098.702,0.05831180627045988,0.9416881937295402,623396.9374866781,297.27333474296904
32910.0,52200.0,0.03,0.002,0.273,11618379.232,0.058866872578758736,0.9411331274212412,,
33014.0,52200.0,0.03,0.005,0.274,11608437.691,0.05942767054823459,0.9405723294517654,1664707.3736976355,267.8759805469505
33117.0,52200.0,0.03,0.004,0.274,11598278.897,0.059994116699368764,0.9400058833006313,,
33221.0,52200.0,0.04,0.005,0.274,11587907.534,0.06056612924087215,0.9394338707591279,838928.3589035623,325.20933652483257
33324.0,52200.0,0.05,0.01,0.274,11577328.147,0.061143628015893924,0.9388563719841061,,
33427.0,52200.0,0.05,0.011,0.274,11566545.15,0.06172653444464436,0.9382734655553556,706441.429554816,292.1053037151778
33531.0,52200.0,0.04,0.004,0.275,11555562.83,0.06231477146454449,0.9376852285354556,,
33634.0,52200.0,0.02,0.001,0.275,11544385.352,0.06290826346922787,0.9370917365307722,1076089.0954981288,224.46610822045142
33738.0,52200.0,0.04,0.006,0.275,11533016.759,0.06350693624706313,0.9364930637529368,,
33841.0,52200.0,0.04,0.007,0.275,11521460.983,0.06411071691995479,0.9358892830800452,1106230.6361672978,295.0363624269732
33945.0,52200.0,0.04,0.007,0.275,11509721.844,0.06471953388290483,0.9352804661170951,,
34048.0,52200.0,0.05,0.009,0.276,11497803.056,0.0653333167448182,0.9346666832551818,738104.9054538523,334.03352411795885
34152.0,52200.0,0.05,0.007,0.276,11473440.883,0.06657550432585072,0.9334244956741493,,
34255.0,52200.0,0.05,0.009,0.277,11461004.432,0.0672037738211706,0.9327962261788294,637667.181659368,296.1124571444097
34358.0,52200.0,0.02,0.001,0.277,11448402.208,0.0678367386614485,0.9321632613385515,,
34462.0,52200.0,0.05,0.01,0.277,11435637.453,0.06847433369477159,0.9315256663052284,845657.0880280031,245.68014753487162
34565.0,52200.0,0.03,0.002,0.277,11422713.325,0.06911649466437199,0.930883505335628,,
34669.0,52200.0,0.02,0.001,0.278,11409632.903,0.06976315816238232,0.9302368418376177,1355174.9506374202,299.51860291535525
34772.0,52200.0,0.02,0.002,0.278,11396399.189,0.07041426158554416,0.9295857384144558,,
34876.0,52200.0,0.05,0.009,0.278,11383015.109,0.07106974309284889,0.9289302569071511,1885304.5829802253,313.76981580891294
34979.0,52200.0,0.05,0.01,0.278,11369483.522,0.07172954156511188,0.9282704584348881,,
35082.0,52200.0,0.03,0.004,0.279,11355807.213,0.07239359656623369,0.9276064034337663,931466.512267261,272.81164103659125
35186.0,52200.0,0.03,0.004,0.279,11341988.907,0.07306184830637319,0.9269381516936268,,
35289.0,52200.0,0.05,0.012,0.279,11328031.261,0.07373423760666988,0.9262657623933301,866870.8472094606,366.41479137092614
35393.0,52200.0,0.03,0.005,0.28,11313936.876,0.0744107058655732,0.9255892941344268,,
35496.0,52200.0,0.04,0.006,0.28,11299708.29,0.07509119502669279,0.9249088049733072,791073.3811786067,264.3954642778336
35600.0,52200.0,0.04,0.005,0.28,11285347.989,0.07577564754814695,0.9242243524518531,,
35703.0,52200.0,0.02,0.001,0.28,11270858.404,0.07646400637323655,0.9235359936267634,971540.7657323101,261.7103102857191
35807.0,52200.0,0.05,0.009,0.281,11256241.912,0.07715621490241681,0.9228437850975832,,
35910.0,52200.0,0.05,0.009,0.281,11241500.843,0.07785221696647494,0.9221477830335251,1012139.4999191217,400.790764547319
36013.0,52200.0,0.02,0.001,0.281,11226637.477,0.07855195680087405,0.921448043199126,,
36117.0,52200.0,0.02,0.001,0.282,11211654.05,0.0792553790212395,0.9207446209787605,480002.665762693,288.39923774818277
36220.0,52200.0,0.05,0.009,0.282,11196552.752,0.07996242859977283,0.9200375714002271,,
36324.0,52200.0,0.03,0.003,0.282,11181335.731,0.0806730508427278,0.9193269491572722,398674.00917942397,285.9885270257019
36427.0,52200.0,0.04,0.007,0.283,11166005.093,0.08138719136868632,0.9186128086313137,,
