easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
18900.0,55200.0,0.03,0.002,0.31,10078758.278,0.041064678837536464,0.9589353211624635,1235274.013050583,321.5575267458719
18994.0,55200.0,0.03,0.005,0.309,10094428.465,0.04089224890002996,0.95910775109997,,
19088.0,55200.0,0.04,0.007,0.309,10110042.559,0.040721134782894,0.959278865217106,,
19182.0,55200.0,0.04,0.004,0.308,10125599.336,0.04055137850379187,0.9594486214962081,,
19275.0,55200.0,0.03,0.004,0.308,10141097.578,0.04038302208645714,0.9596169779135428,,
19369.0,55200.0,0.03,0.004,0.308,10156536.072,0.040216107566733654,0.9597838924332663,,
19463.0,55200.0,0.04,0.005,0.307,10171913.612,0.04005067699904742,0.9599493230009526,,
19557.0,55200.0,0.03,0.004,0.307,10187228.994,0.03988677246243363,0.9601132275375663,,
19651.0,55200.0,0.03,0.003,0.306,10202481.019,0.039724436066892715,0.9602755639331073,,
19745.0,55200.0,0.03,0.003,0.306,10202481.019,0.039724436066892715,0.9602755639331073,,
19839.0,55200.0,0.01,0.001,0.306,10217668.49,0.03956370995936617,0.9604362900406338,,
19933.0,55200.0,0.02,0.001,0.305,10232790.213,0.039404636329958845,0.9605953636700412,,
20026.0,55200.0,0.02,0.002,0.305,10247844.997,0.039247257417985,0.960752742582015,,
20120.0,55200.0,0.04,0.005,0.304,10262831.651,0.039091615517870514,0.9609083844821295,,
20214.0,55200.0,0.05,0.008,0.304,10277748.984,0.038937752985293,0.961062247014707,,
20308.0,55200.0,0.04,0.006,0.303,10292595.807,0.03878571224288483,0.9612142877571151,,
20402.0,55200.0,0.02,0.002,0.303,10307370.927,0.03863553578631294,0.961364464213687,,
20496.0,55200.0,0.03,0.003,0.303,10322073.154,0.03848726618998459,0.9615127338100155,,
20590.0,55200.0,0.04,0.007,0.302,10336701.293,0.0383409461128029,0.9616590538871971,,
20683.0,55200.0,0.02,0.002,0.302,10351254.148,0.038196618303895265,0.9618033816961047,,
20777.0,55200.0,0.03,0.004,0.301,10365730.518,0.03805432560832486,0.9619456743916751,,
20871.0,55200.0,0.03,0.004,0.301,10380129.199,0.03791411097259913,0.9620858890274009,,
20965.0,55200.0,0.01,0.0,0.3,10394448.984,0.037776017450243116,0.9622239825497569,,
