easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
4000.0,35100.0,0.06,0.014,0.35,9660868.047,0.06489952451874972,0.9351004754812503,1101301.390175156,299.3922055065406
4088.0,35100.0,0.06,0.011,0.35,9686027.901,0.06472547555171686,0.9352745244482832,,
4176.0,35100.0,0.06,0.013,0.35,9711160.693,0.06455168284983573,0.9354483171501643,270344.63166102284,281.26353556145534
4264.0,35100.0,0.05,0.007,0.35,9736265.261,0.06437817246615504,0.9356218275338449,,
4352.0,35100.0,0.08,0.031,0.35,9761340.412,0.06420497101444149,0.9357950289855586,776492.2052623006,372.9611822082951
4440.0,35100.0,0.08,0.031,0.35,9761340.412,0.06420497101444149,0.9357950289855586,,
4528.0,35100.0,0.07,0.023,0.349,9786384.927,0.0640321056729129,0.935967894327087,750830.9981735348,240.224829724493
4616.0,35100.0,0.04,0.009,0.349,9811397.557,0.06385960418674605,0.9361403958132539,,
4705.0,35100.0,0.03,0.004,0.349,9836377.023,0.06368749487024922,0.9363125051297507,1471317.6252864473,331.016335621602
4793.0,35100.0,0.07,0.023,0.349,9861322.021,0.06351580660822613,0.9364841933917739,,
4881.0,35100.0,0.06,0.013,0.349,9886231.214,0.06334456885624765,0.9366554311437524,339333.0437456633,280.67226078913245
4969.0,35100.0,0.04,0.007,0.348,9911103.239,0.0631738116403856,0.9368261883596144,,
5057.0,35100.0,0.05,0.011,0.348,9935936.702,0.06300356555560446,0.9369964344443955,657185.8756397418,260.95993472156687
5145.0,35100.0,0.05,0.011,0.348,9935936.702,0.06300356555560446,0.9369964344443955,,
5233.0,35100.0,0.07,0.018,0.348,9960730.182,0.06283386176328389,0.9371661382367161,740601.0535439752,322.2368749816279
5321.0,35100.0,0.03,0.002,0.348,9985482.23,0.06266473198741807,0.9373352680125819,,
5409.0,35100.0,0.06,0.014,0.348,10010191.367,0.062496208509707815,0.9375037914902922,297819.4465722258,233.87055002959607
5497.0,35100.0,0.07,0.018,0.348,10034856.087,0.062328324163132304,0.9376716758368677,,
5585.0,35100.0,0.03,0.004,0.347,10059474.858,0.062161112323970015,0.93783888767603,990294.1080452501,390.86525986760097
5673.0,35100.0,0.05,0.008,0.347,10084046.119,0.061994606902737746,0.9380053930972623,,
5761.0,35100.0,0.04,0.006,0.347,10108568.283,0.06182884233280044,0.9381711576671996,409951.6289076901,355.36739397125893
5849.0,35100.0,0.04,0.006,0.347,10108568.283,0.06182884233280044,0.9381711576671996,,
5938.0,35100.0,0.05,0.008,0.347,10133039.739,0.061663853557509946,0.9383361464424901,485272.5135622476,385.78742937400875
6026.0,35100.0,0.04,0.008,0.347,10157458.849,0.061499676015625615,0.9385003239843743,,
6114.0,35100.0,0.06,0.011,0.346,10181823.953,0.061336345624275326,0.9386636543757246,87618.13320752137,280.25980715815604
6202.0,35100.0,0.06,0.013,0.346,10206133.366,0.06117389876017675,0.9388261012398232,,
6290.0,35100.0,0.06,0.014,0.346,10230385.383,0.06101237223849307,0.9389876277615069,491063.04761066276,277.6199412196236
6378.0,35100.0,0.06,0.012,0.346,10254578.278,0.06085180328922983,0.9391481967107702,,
6466.0,35100.0,0.03,0.002,0.346,10278710.305,0.06069222953137167,0.9393077704686283,1198429.191971686,345.1855938055482
6554.0,35100.0,0.05,0.009,0.346,10302779.702,0.060533688944366525,0.9394663110556335,,
6642.0,35100.0,0.05,0.009,0.346,10302779.702,0.060533688944366525,0.9394663110556335,829108.7212106258,274.6751410925799
6730.0,35100.0,0.05,0.009,0.345,10326784.688,0.060376219837014876,0.9396237801629851,,
6818.0,35100.0,0.05,0.008,0.345,10350723.471,0.06021986081351635,0.9397801391864836,850912.9961700256,255.3227622095963
6906.0,35100.0,0.06,0.01,0.345,10374594.245,0.060064650736971724,0.9399353492630282,,
6994.0,35100.0,0.05,0.011,0.345,10398395.195,0.05991062868973211,0.9400893713102679,1269473.9878226484,244.39918951498464
7082.0,35100.0,0.03,0.003,0.345,10422124.497,0.05975783393122082,0.9402421660687792,,
7170.0,35100.0,0.04,0.005,0.345,10445780.323,0.059606305852455105,0.9403936941475449,820589.1164426175,359.9680049540749
7259.0,35100.0,0.04,0.006,0.344,10469360.84,0.05945608392788955,0.9405439160721104,,
7347.0,35100.0,0.04,0.006,0.344,10469360.84,0.05945608392788955,0.9405439160721104,699286.9249568332,266.48458638244176
7435.0,35100.0,0.03,0.003,0.344,10492864.218,0.05930720766442997,0.94069279233557,,
7523.0,35100.0,0.02,0.001,0.344,10516288.626,0.059159716547379504,0.9408402834526205,767204.4615343559,256.34114796002166
7611.0,35100.0,0.05,0.011,0.344,10539632.242,0.05901364998386529,0.9409863500161347,,
7699.0,35100.0,0.05,0.012,0.344,10562893.252,0.05886904724347322,0.9411309527565268,681128.0894842757,332.5649018281753
7787.0,35100.0,0.05,0.008,0.344,10586069.854,0.05872594739641673,0.9412740526035832,,
7875.0,35100.0,0.04,0.006,0.344,10609160.262,0.05858438924948901,0.941415610750511,983804.27426472,227.5315580620627
7963.0,35100.0,0.06,0.015,0.343,10632162.71,0.058444411279858235,0.9415555887201418,,
8051.0,35100.0,0.06,0.019,0.343,10655075.452,0.05830605156688657,0.9416939484331134,504386.37567641214,323.30782530289895
8139.0,35100.0,0.06,0.019,0.343,10655075.452,0.05830605156688657,0.9416939484331134,,
8227.0,35100.0,0.05,0.012,0.343,10677896.773,0.05816934772279144,0.9418306522772085,674970.0379349013,228.63048619816374
8315.0,35100.0,0.05,0.009,0.343,10700624.986,0.05803433682181101,0.941965663178189,,
8403.0,35100.0,0.03,0.004,0.343,10723258.438,0.057901055328646235,0.9420989446713538,659734.8698457265,309.03774853993957
8492.0,35100.0,0.03,0.004,0.343,10745795.516,0.05776953902661335,0.9422304609733867,,
8580.0,35100.0,0.05,0.013,0.343,10768234.647,0.0576398229457452,0.9423601770542548,883868.381936188,271.23719699894207
8668.0,35100.0,0.04,0.005,0.343,10790574.305,0.05751194129159862,0.9424880587084014,,
8756.0,35100.0,0.05,0.008,0.342,10812813.014,0.05738592737494704,0.9426140726250529,921003.6788741106,303.42749607846594
8844.0,35100.0,0.05,0.008,0.342,10812813.014,0.05738592737494704,0.9426140726250529,,
8932.0,35100.0,0.06,0.013,0.342,10834949.349,0.05726181354328101,0.942738186456719,616718.4576139216,297.3358263242477
9020.0,35100.0,0.04,0.005,0.342,10856981.946,0.0571396311143095,0.9428603688856905,,
9108.0,35100.0,0.05,0.008,0.342,10878909.496,0.05701941031220134,0.9429805896877986,702567.9481821395,358.20802250907616
9196.0,35100.0,0.04,0.008,0.342,10900730.759,0.056901180207239006,0.943098819792761,,
9284.0,35100.0,0.07,0.017,0.342,10922444.558,0.05678496865916375,0.9432150313408363,572432.5118259261,314.2308907912362
9372.0,35100.0,0.06,0.012,0.342,10944049.786,0.05667080226487608,0.9433291977351239,,
9460.0,35100.0,0.06,0.014,0.342,10965545.408,0.056558706311080335,0.9434412936889197,1031115.8175465296,289.57070219724784
9548.0,35100.0,0.06,0.014,0.342,10965545.408,0.056558706311080335,0.9434412936889197,,
9636.0,35100.0,0.05,0.01,0.342,10986930.464,0.056448704732305593,0.9435512952676944,494267.1512283958,270.582005715007
9725.0,35100.0,0.06,0.012,0.341,11008204.07,0.05634082007462624,0.9436591799253737,,
9813.0,35100.0,0.05,0.01,0.341,11029365.418,0.056235073465582375,0.9437649265344177,707369.3091179532,270.2344230456704
9901.0,35100.0,0.05,0.007,0.341,11050413.782,0.05613148459058033,0.9438685154094196,,
9989.0,35100.0,0.06,0.013,0.341,11071348.513,0.05603007167611692,0.943969928323883,451832.7238145228,277.49593141311885
10077.0,35100.0,0.06,0.015,0.341,11092169.044,0.055930851479893205,0.9440691485201068,,
10165.0,35100.0,0.06,0.013,0.341,11112874.889,0.0558338392878984,0.9441661607121016,1052613.373325286,292.10660347757386
10253.0,35100.0,0.04,0.007,0.341,11133465.641,0.05573904891867528,0.9442609510813247,,
10341.0,35100.0,0.04,0.007,0.341,11133465.641,0.05573904891867528,0.9442609510813247,1529517.064478936,391.82628346338424
10429.0,35100.0,0.05,0.011,0.341,11153940.974,0.0556464927346701,0.9443535072653299,,
10517.0,35100.0,0.01,0.001,0.341,11174300.64,0.05555618166047845,0.9444438183395215,733360.7610895761,248.60275350864998
10605.0,35100.0,0.03,0.004,0.341,11194544.47,0.05546812520778994,0.94453187479221,,
10693.0,35100.0,0.05,0.012,0.341,11214672.369,0.055382331506910916,0.944617668493089,899287.6213916354,286.1116692117266
10781.0,35100.0,0.05,0.011,0.34,11234684.317,0.055298807344372154,0.9447011926556278,,
10869.0,35100.0,0.04,0.005,0.34,11254580.364,0.055217558206517726,0.9447824417934823,499353.3640288465,286.6407423291153
10957.0,35100.0,0.04,0.006,0.34,11274360.632,0.05513858832798471,0.9448614116720153,,
11046.0,35100.0,0.04,0.006,0.34,11274360.632,0.05513858832798471,0.9448614116720153,727890.6563337707,221.15215948024203
11134.0,35100.0,0.06,0.01,0.34,11294025.306,0.05506190074575418,0.9449380992542458,,
11222.0,35100.0,0.05,0.012,0.34,11313574.635,0.054987497356833434,0.9450125026431666,354068.5354004271,281.9496086746363
11310.0,35100.0,0.03,0.005,0.34,11333008.927,0.054915378980470914,0.9450846210195291,,
11398.0,35100.0,0.04,0.005,0.34,11352328.548,0.05484554542293178,0.9451544545770683,1015831.4743301697,384.897772240084
11486.0,35100.0,0.02,0.002,0.34,11371533.915,0.05477799554559606,0.945222004454404,,
11574.0,35100.0,0.05,0.007,0.34,11390625.494,0.05471272733496815,0.9452872726650319,830597.2699966986,320.61836299629726
11662.0,35100.0,0.04,0.009,0.34,11409603.796,0.05464973797414504,0.9453502620258549,,
11750.0,35100.0,0.04,0.007,0.34,11428469.373,0.054589023915742704,0.9454109760842573,846897.7920709029,222.64340969825565
11838.0,35100.0,0.04,0.007,0.34,11428469.373,0.054589023915742704,0.9454109760842573,,
11926.0,35100.0,0.03,0.003,0.34,11447222.815,0.054530580954978335,0.9454694190450217,1328066.7513058656,268.0829279559041
12014.0,35100.0,0.05,0.011,0.34,11465864.744,0.05447440430303608,0.9455255956969639,,
12102.0,35100.0,0.03,0.003,0.34,11484395.812,0.054420488660178665,0.9455795113398213,230176.6222128861,383.48662923611175
12190.0,35100.0,0.04,0.009,0.34,11502816.697,0.054368828287696104,0.9456311717123039,,
12279.0,35100.0,0.06,0.014,0.34,11521128.097,0.05431941707906197,0.945680582920938,502512.6764365572,248.0171661942506
12367.0,35100.0,0.04,0.007,0.34,11539330.731,0.05427224862934816,0.9457277513706518,,
12455.0,35100.0,0.04,0.005,0.34,11557425.329,0.05422731630278165,0.9457726836972183,1321441.3834176715,243.74273282084954
12543.0,35100.0,0.04,0.005,0.34,11557425.329,0.05422731630278165,0.9457726836972183,,
12631.0,35100.0,0.05,0.011,0.34,11575412.634,0.05418461329851374,0.9458153867014862,249598.7886301403,266.9951338856192
12719.0,35100.0,0.02,0.002,0.34,11593293.397,0.054144132713617864,0.9458558672863822,,
