easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
78400.0,79600.0,0.01,0.001,0.303,9877867.066,0.1713953700740439,0.8286046299259561,550267.081346379,353.5146745700081
78493.0,79600.0,0.05,0.007,0.302,9868595.073,0.17142560939629597,0.828574390603704,,
78586.0,79600.0,0.04,0.007,0.302,9859250.255,0.17144986601438456,0.8285501339856154,794110.7003661596,344.1488198938859
78678.0,79600.0,0.06,0.013,0.302,9849833.979,0.1714681775301349,0.8285318224698651,,
78771.0,79600.0,0.04,0.005,0.302,9840347.611,0.17148058191044677,0.8285194180895532,324535.54552931304,306.5024679982407
78864.0,79600.0,0.06,0.016,0.302,9830792.517,0.1714871174755638,0.8285128825244362,,
78957.0,79600.0,0.06,0.015,0.302,9821170.06,0.17148782288744535,0.8285121771125546,667659.0372514752,396.5458386271732
79050.0,79600.0,0.06,0.015,0.302,9821170.06,0.17148782288744535,0.8285121771125546,,
79142.0,79600.0,0.03,0.004,0.301,9811481.603,0.17148273713824547,0.8285172628617545,845857.0228708775,289.1614654714493
79235.0,79600.0,0.06,0.013,0.301,9801728.508,0.17147189953887793,0.828528100461122,,
79328.0,79600.0,0.06,0.013,0.301,9791912.134,0.17145534970785195,0.8285446502921481,981286.6642374996,247.85632275465036
79421.0,79600.0,0.05,0.01,0.301,9782033.841,0.17143312755999837,0.8285668724400016,,
79514.0,79600.0,0.05,0.01,0.301,9772094.984,0.1714052732955911,0.8285947267044089,1796115.2723498757,266.4225282203928
79606.0,79600.0,0.03,0.003,0.301,9762096.917,0.17137182738932802,0.828628172610672,,
79699.0,79600.0,0.04,0.007,0.301,9752040.994,0.1713328305796091,0.8286671694203909,997479.4337674371,212.73534189532398
79792.0,79600.0,0.05,0.011,0.3,9741928.563,0.17128832385784948,0.8287116761421505,,
79885.0,79600.0,0.04,0.007,0.3,9731760.974,0.17123834845798103,0.828761651542019,334074.67993843707,375.0159204313171
79977.0,79600.0,0.04,0.006,0.3,9721539.57,0.1711829458459012,0.8288170541540988,,
80070.0,79600.0,0.05,0.009,0.3,9711265.696,0.17112215770923742,0.8288778422907626,712917.4975272764,263.9377414577397
80163.0,79600.0,0.06,0.01,0.3,9700940.69,0.17105602594711017,0.8289439740528899,,
80256.0,79600.0,0.05,0.009,0.3,9690565.89,0.17098459265994864,0.8290154073400513,927970.463575649,368.3465372432205
80349.0,79600.0,0.05,0.009,0.3,9690565.89,0.17098459265994864,0.8290154073400513,,
80441.0,79600.0,0.05,0.009,0.299,9680142.63,0.17090790013951554,0.8290920998604845,336580.4714010838,274.39720664489124
