easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
33200.0,80500.0,0.0,0.0,0.323,8662411.248,0.14663700825819234,0.8533629917418076,,
33249.0,80500.0,0.0,0.0,0.323,8662411.248,0.14663700825819234,0.8533629917418076,,
33299.0,80500.0,0.03,0.003,0.323,8657983.916,0.14585774750384314,0.8541422524961568,,
33348.0,80500.0,0.03,0.003,0.323,8657983.916,0.14585774750384314,0.8541422524961568,,
33398.0,80500.0,0.0,0.0,0.323,8653560.401,0.14506931887742336,0.8549306811225766,,
33447.0,80500.0,0.0,0.0,0.323,8653560.401,0.14506931887742336,0.8549306811225766,,
33497.0,80500.0,0.01,0.0,0.323,8649141.277,0.14427184888687367,0.8557281511131263,,
33546.0,80500.0,0.01,0.0,0.323,8649141.277,0.14427184888687367,0.8557281511131263,,
33596.0,80500.0,0.05,0.01,0.323,8644727.12,0.1434654661236476,0.8565345338763524,,
33645.0,80500.0,0.05,0.01,0.323,8644727.12,0.1434654661236476,0.8565345338763524,,
33695.0,80500.0,0.01,0.0,0.322,8640318.507,0.14265030120071323,0.8573496987992868,,
33744.0,80500.0,0.01,0.0,0.322,8640318.507,0.14265030120071323,0.8573496987992868,,
33794.0,80500.0,0.02,0.002,0.322,8635916.019,0.14182648669120035,0.8581735133087997,,
33843.0,80500.0,0.02,0.002,0.322,8635916.019,0.14182648669120035,0.8581735133087997,,
33893.0,80500.0,0.02,0.002,0.322,8631520.237,0.14099415706742247,0.8590058429325775,,
33942.0,80500.0,0.02,0.002,0.322,8631520.237,0.14099415706742247,0.8590058429325775,,
33992.0,80500.0,0.03,0.003,0.322,8627131.745,0.14015344864061438,0.8598465513593856,,
34041.0,80500.0,0.03,0.003,0.322,8627131.745,0.14015344864061438,0.8598465513593856,,
34091.0,80500.0,0.01,0.0,0.322,8622751.129,0.13930449950133242,0.8606955004986676,,
34140.0,80500.0,0.01,0.0,0.322,8622751.129,0.13930449950133242,0.8606955004986676,,
34189.0,80500.0,0.02,0.001,0.322,8618378.976,0.1384474494606066,0.8615525505393934,,
34239.0,80500.0,0.02,0.001,0.322,8618378.976,0.1384474494606066,0.8615525505393934,,
34288.0,80500.0,0.03,0.004,0.322,8614015.876,0.13758243999216313,0.8624175600078369,,
34338.0,80500.0,0.03,0.004,0.322,8614015.876,0.13758243999216313,0.8624175600078369,,
34387.0,80500.0,0.03,0.003,0.322,8609662.42,0.13670961417528996,0.8632903858247101,,
34437.0,80500.0,0.03,0.003,0.322,8609662.42,0.13670961417528996,0.8632903858247101,,
34486.0,80500.0,0.02,0.002,0.322,8605319.201,0.1358291166390378,0.8641708833609623,,
34536.0,80500.0,0.02,0.002,0.322,8605319.201,0.1358291166390378,0.8641708833609623,,
34585.0,80500.0,0.02,0.001,0.322,8600986.814,0.13494109350732436,0.8650589064926757,,
34635.0,80500.0,0.02,0.001,0.322,8600986.814,0.13494109350732436,0.8650589064926757,,
34684.0,80500.0,0.03,0.002,0.322,8596665.855,0.1340456923451705,0.8659543076548295,,
34734.0,80500.0,0.03,0.002,0.322,8596665.855,0.1340456923451705,0.8659543076548295,,
34783.0,80500.0,0.01,0.0,0.322,8592356.924,0.13314306210623744,0.8668569378937625,,
34833.0,80500.0,0.01,0.0,0.322,8592356.924,0.13314306210623744,0.8668569378937625,,
34882.0,80500.0,0.04,0.006,0.321,8588060.619,0.13223335308147222,0.8677666469185278,,
34932.0,80500.0,0.04,0.006,0.321,8588060.619,0.13223335308147222,0.8677666469185278,,
34981.0,80500.0,0.03,0.003,0.321,8583777.544,0.13131671684915389,0.8686832831508461,,
35030.0,80500.0,0.03,0.003,0.321,8583777.544,0.13131671684915389,0.8686832831508461,,
35080.0,80500.0,0.01,0.001,0.321,8579508.302,0.13039330622612674,0.8696066937738732,,
35129.0,80500.0,0.01,0.001,0.321,8579508.302,0.13039330622612674,0.8696066937738732,,
35179.0,80500.0,0.01,0.001,0.321,8575253.498,0.12946327522041504,0.870536724779585,,
35228.0,80500.0,0.01,0.001,0.321,8575253.498,0.12946327522041504,0.870536724779585,,
35278.0,80500.0,0.05,0.01,0.321,8571013.741,0.12852677898522769,0.8714732210147723,,
35327.0,80500.0,0.05,0.01,0.321,8571013.741,0.12852677898522769,0.8714732210147723,,
35377.0,80500.0,0.02,0.001,0.321,8566789.639,0.12758397377430616,0.8724160262256938,,
35426.0,80500.0,0.02,0.001,0.321,8566789.639,0.12758397377430616,0.8724160262256938,,
35476.0,80500.0,0.03,0.004,0.321,8562581.804,0.12663501689869378,0.8733649831013062,,
35525.0,80500.0,0.03,0.004,0.321,8562581.804,0.12663501689869378,0.8733649831013062,,
