easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
6300.0,53700.0,0.04,0.007,0.361,8216684.11,0.05945849533724842,0.9405415046627515,795356.1756032878,275.3383403366955
6401.0,53700.0,0.04,0.005,0.361,8228534.921,0.059421563825535595,0.9405784361744645,,
6502.0,53700.0,0.04,0.006,0.361,8240433.762,0.05938304100979095,0.940616958990209,180894.0350896029,237.63608934652478
6602.0,53700.0,0.04,0.005,0.361,8252383.062,0.05934288777282457,0.9406571122271754,,
6703.0,53700.0,0.03,0.004,0.36,8264385.291,0.059301064441843965,0.9406989355581561,856789.0840074808,339.3558701090104
6804.0,53700.0,0.03,0.003,0.36,8276442.956,0.05925753081774529,0.9407424691822547,,
6905.0,53700.0,0.02,0.001,0.36,8288558.6,0.059212246210366554,0.9407877537896334,1039861.2584260649,349.2141099380048
7006.0,53700.0,0.03,0.003,0.36,8300734.803,0.05916516947949402,0.940834830520506,,
7106.0,53700.0,0.04,0.005,0.36,8312974.174,0.05911625908282188,0.9408837409171781,747616.8438823173,234.68600813961962
7207.0,53700.0,0.03,0.003,0.36,8325279.349,0.059065473130593585,0.9409345268694064,,
7308.0,53700.0,0.01,0.0,0.359,8337652.993,0.059012769448600524,0.9409872305513994,1218854.307944666,324.9834327695869
7409.0,53700.0,0.06,0.01,0.359,8350097.786,0.058958105648951126,0.9410418943510489,,
7510.0,53700.0,0.04,0.005,0.359,8362616.428,0.05890143921005653,0.9410985607899435,786131.5343573472,333.4663055662641
7610.0,53700.0,0.04,0.005,0.359,8375211.627,0.058842727565767694,0.9411572724342323,,
7711.0,53700.0,0.01,0.001,0.359,8387886.096,0.0587819282042667,0.9412180717957332,476958.46072194143,320.6237132318586
7812.0,53700.0,0.03,0.002,0.358,8400642.548,0.05871899877749015,0.9412810012225099,,
7913.0,53700.0,0.05,0.008,0.358,8413483.684,0.058653897220610055,0.9413461027793899,1214262.7254700211,288.14441570547723
8014.0,53700.0,0.05,0.009,0.358,8426412.192,0.058586581882560204,0.9414134181174398,,
8114.0,53700.0,0.03,0.003,0.358,8439430.732,0.05851701166689012,0.9414829883331098,1084355.6774672314,343.46322194477267
8215.0,53700.0,0.05,0.009,0.358,8452541.933,0.05844514618374769,0.9415548538162524,,
8316.0,53700.0,0.04,0.006,0.357,8465748.378,0.058370945911517653,0.9416290540884823,856021.2009378375,313.32169500217793
8417.0,53700.0,0.04,0.008,0.357,8479052.598,0.058294372368652404,0.9417056276313476,,
8518.0,53700.0,0.02,0.001,0.357,8492457.058,0.058215388294236635,0.9417846117057633,669132.8220883643,278.2930599145052
8618.0,53700.0,0.02,0.002,0.357,8505964.151,0.058133957836499765,0.9418660421635002,,
8719.0,53700.0,0.04,0.004,0.356,8519576.179,0.05805004674794789,0.9419499532520521,559506.9632554597,296.9848169513626
8820.0,53700.0,0.05,0.01,0.356,8533295.346,0.05796362258539142,0.9420363774146086,,
8921.0,53700.0,0.04,0.006,0.356,8547123.748,0.05787465491315635,0.9421253450868436,894865.1885397315,344.4369115132692
9022.0,53700.0,0.0,0.0,0.356,8561063.353,0.05778311550716523,0.9422168844928348,,
9122.0,53700.0,0.03,0.003,0.355,8575115.997,0.057688978557481,0.942311021442519,815793.6872414543,347.21617654930833
9223.0,53700.0,0.02,0.002,0.355,8589283.368,0.057592220866993914,0.9424077791330061,,
9324.0,53700.0,0.03,0.002,0.355,8603566.996,0.05749282204292414,0.9425071779570758,609738.6125854244,186.271561957007
9425.0,53700.0,0.05,0.008,0.354,8617968.242,0.05739076467884992,0.94260923532115,,
9526.0,53700.0,0.03,0.004,0.354,8632488.287,0.05728603452387882,0.9427139654761212,987004.8757204344,307.6209723065662
9626.0,53700.0,0.01,0.0,0.354,8647128.124,0.057178620636493045,0.942821379363507,,
9727.0,53700.0,0.04,0.005,0.354,8661888.549,0.05706851552022317,0.9429314844797768,1183363.8732588526,327.43183523200906
9828.0,53700.0,0.03,0.004,0.353,8676770.156,0.05695571523841393,0.9430442847615861,,
9929.0,53700.0,0.04,0.004,0.353,8691773.33,0.05684021950645962,0.9431597804935403,291471.62569787074,244.82645874116264
10030.0,53700.0,0.0,0.0,0.353,8706898.242,0.05672203175909552,0.9432779682409045,,
10130.0,53700.0,0.05,0.009,0.352,8722144.85,0.056601159192172616,0.9433988408078274,727529.5645068649,271.0136523120655
10231.0,53700.0,0.06,0.013,0.352,8737512.894,0.056477612777256755,0.9435223872227433,,
10332.0,53700.0,0.02,0.002,0.352,8753001.9,0.05635140724956565,0.9436485927504343,722802.756481509,267.32677893374074
10433.0,53700.0,0.02,0.002,0.351,8768611.183,0.056222561068960814,0.9437774389310392,,
10534.0,53700.0,0.04,0.006,0.351,8784339.846,0.05609109635497741,0.9439089036450226,974838.2249131682,297.76721380714844
10634.0,53700.0,0.04,0.005,0.351,8800186.79,0.05595703879752063,0.9440429612024793,,
10735.0,53700.0,0.0,0.0,0.35,8816150.72,0.05582041754443994,0.9441795824555601,846443.530580726,243.63994547475005
10836.0,53700.0,0.02,0.001,0.35,8832230.151,0.055681265068397066,0.9443187349316029,,
10937.0,53700.0,0.03,0.004,0.35,8848423.421,0.055539617015975346,0.9444603829840247,917916.7243898938,241.89980555995726
11037.0,53700.0,0.04,0.005,0.349,8864728.696,0.055395512040678635,0.9446044879593214,,
11138.0,53700.0,0.05,0.008,0.349,8881143.985,0.055248991623797775,0.9447510083762022,621192.1399063042,309.03425286774285
11239.0,53700.0,0.03,0.003,0.349,8897667.147,0.055100099885246306,0.9448999001147537,,
11340.0,53700.0,0.02,0.001,0.348,8914295.908,0.05494888338767577,0.9450511166123242,345483.83778918645,280.0586954078933
11441.0,53700.0,0.03,0.004,0.348,8931027.871,0.054795390936416076,0.945204609063584,,
11541.0,53700.0,0.02,0.002,0.347,8947860.523,0.05463967337791363,0.9453603266220864,781875.3501044083,365.72373898099664
11642.0,53700.0,0.04,0.005,0.347,8964791.257,0.05448178339920664,0.9455182166007934,,
11743.0,53700.0,0.03,0.004,0.347,8981817.375,0.05432177533043637,0.9456782246695636,428342.97791089065,304.7077303143334
11844.0,53700.0,0.01,0.001,0.346,8998936.103,0.05415970495221987,0.9458402950477801,,
11945.0,53700.0,0.02,0.002,0.346,9016144.604,0.05399562930986982,0.9460043706901302,688038.8586306316,254.64207608534463
12045.0,53700.0,0.05,0.011,0.345,9033439.984,0.05382960653511206,0.946170393464888,,
12146.0,53700.0,0.04,0.006,0.345,9050819.306,0.053661695677199785,0.9463383043228002,743882.2035694475,280.6806726784613
12247.0,53700.0,0.04,0.008,0.345,9068279.6,0.05349195654343595,0.946508043456564,,
12348.0,53700.0,0.03,0.004,0.344,9085817.867,0.05332044955005037,0.9466795504499497,956388.3805027636,338.84728955090503
12449.0,53700.0,0.02,0.002,0.344,9103431.093,0.05314723558369336,0.9468527644163066,,
12549.0,53700.0,0.06,0.011,0.343,9121116.254,0.05297237587364013,0.9470276241263599,976342.725547365,396.6969872851122
12650.0,53700.0,0.02,0.001,0.342,9156690.273,0.05261796516014478,0.9473820348398552,,
12751.0,53700.0,0.05,0.01,0.342,9174573.094,0.052438537326050326,0.9475614626739497,803048.3020327468,348.6356127137194
12852.0,53700.0,0.01,0.0,0.342,9192515.785,0.052257709903880616,0.9477422900961194,,
12953.0,53700.0,0.02,0.001,0.341,9210515.364,0.052075544283492536,0.9479244557165074,1062971.022256525,286.0455385142227
13053.0,53700.0,0.02,0.002,0.341,9228568.876,0.05189210164461188,0.9481078983553881,,
13154.0,53700.0,0.03,0.005,0.34,9246673.388,0.051707442896636695,0.9482925571033634,1210281.3210918126,280.0258801783722
13255.0,53700.0,0.05,0.014,0.34,9264826.001,0.05152162862631797,0.9484783713736821,,
13356.0,53700.0,0.02,0.002,0.339,9283023.847,0.0513347190522933,0.9486652809477067,715304.2191600122,274.43929935295847
13457.0,53700.0,0.05,0.009,0.339,9301264.093,0.051146773986619855,0.9488532260133802,,
13557.0,53700.0,0.02,0.002,0.338,9319543.943,0.0509578528021199,0.94904214719788,369530.53929791116,339.8523938832034
13658.0,53700.0,0.05,0.009,0.338,9337860.638,0.050768014405357414,0.9492319855946426,,
13759.0,53700.0,0.03,0.003,0.337,9356211.462,0.05057731721458266,0.9494226827854173,184332.06406634313,306.93107923099427
13860.0,53700.0,0.02,0.001,0.337,9374593.736,0.05038581914227656,0.9496141808577234,,
13961.0,53700.0,0.01,0.0,0.337,9393004.825,0.05019357758182765,0.9498064224181724,967853.3680848336,326.4914965663487
14061.0,53700.0,0.04,0.005,0.336,9411442.136,0.05000064939767083,0.9499993506023292,,
14162.0,53700.0,0.03,0.004,0.336,9429903.118,0.04980709091898282,0.9501929090810172,1273687.562874723,315.7153938367888
14263.0,53700.0,0.04,0.007,0.335,9448385.26,0.049612957935987474,0.9503870420640125,,
14364.0,53700.0,0.05,0.007,0.335,9466886.098,0.04941830569908188,0.9505816943009181,1330901.6144912539,186.6178744429248
14465.0,53700.0,0.06,0.016,0.334,9485403.207,0.04922318892004109,0.9507768110799589,,
14565.0,53700.0,0.02,0.002,0.334,9503934.207,0.04902766177529064,0.9509723382247094,1076378.9058258173,254.02051495386405
14666.0,53700.0,0.03,0.005,0.333,9522476.757,0.04883177791086955,0.9511682220891304,,
14767.0,53700.0,0.03,0.005,0.333,9541028.559,0.04863559044896097,0.9513644095510391,372470.69923364697,286.0150675268138
14868.0,53700.0,0.04,0.006,0.332,9559587.355,0.04843915199552606,0.9515608480044739,,
14969.0,53700.0,0.02,0.001,0.332,9578150.93,0.04824251464931178,0.9517574853506883,390121.15092640393,238.55175073056353
15069.0,53700.0,0.04,0.006,0.331,9596717.104,0.048045730011497596,0.9519542699885024,,
15170.0,53700.0,0.02,0.002,0.331,9615283.739,0.04784884919639231,0.9521511508036077,710463.4246183566,278.612402808152
15271.0,53700.0,0.05,0.009,0.33,9633848.736,0.04765192284256777,0.9523480771574322,,
15372.0,53700.0,0.05,0.01,0.33,9652410.03,0.04745500112461718,0.9525449988753828,448192.41771539865,379.06361614904836
15473.0,53700.0,0.01,0.001,0.329,9670965.596,0.047258133765375854,0.9527418662346241,,
15573.0,53700.0,0.04,0.005,0.329,9689513.443,0.047061370048373324,0.9529386299516267,795892.0656097251,308.17051667630744
15674.0,53700.0,0.03,0.003,0.328,9708051.614,0.04686475883070302,0.9531352411692969,,
15775.0,53700.0,0.02,0.002,0.328,9726578.19,0.04666834855583079,0.9533316514441692,828600.9179713752,256.3402476073658
15876.0,53700.0,0.02,0.002,0.327,9745091.279,0.04647218726675157,0.9535278127332484,,
15977.0,53700.0,0.04,0.006,0.327,9763589.028,0.04627632261907942,0.9537236773809206,572205.0168641477,356.93220439975727
