easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
37800.0,18300.0,0.06,0.012,0.325,11783525.256,0.18869137909356024,0.8113086209064397,801511.7600073506,271.7011303379589
37880.0,18300.0,0.07,0.027,0.325,11777809.292,0.18910895394802196,0.810891046051978,,
37960.0,18300.0,0.05,0.01,0.325,11771984.761,0.18952584789710283,0.8104741521028972,617647.5444903246,405.35094729943285
38040.0,18300.0,0.05,0.01,0.325,11771984.761,0.18952584789710283,0.8104741521028972,,
38120.0,18300.0,0.06,0.013,0.324,11766052.007,0.18994200332416158,0.8100579966758384,427777.748233736,345.72086971419424
38200.0,18300.0,0.06,0.016,0.324,11760011.371,0.19035736245480805,0.809642637545192,,
38279.0,18300.0,0.09,0.027,0.324,11753863.188,0.19077186736294366,0.8092281326370563,775343.614511552,245.5172872701828
38359.0,18300.0,0.05,0.012,0.324,11747607.789,0.1911854599770768,0.8088145400229232,,
38439.0,18300.0,0.05,0.012,0.324,11747607.789,0.1911854599770768,0.8088145400229232,483003.04177394893,382.4250852746217
38519.0,18300.0,0.06,0.019,0.324,11741245.498,0.19159808208611945,0.8084019179138806,,
38599.0,18300.0,0.06,0.013,0.324,11734776.635,0.1920096753456036,0.8079903246543965,661753.018938152,371.4494666030354
38679.0,18300.0,0.08,0.035,0.324,11728201.516,0.19242018128333022,0.8075798187166698,,
38759.0,18300.0,0.06,0.016,0.323,11721520.45,0.19282954130546698,0.807170458694533,252875.58734583567,300.55850340371114
38839.0,18300.0,0.06,0.016,0.323,11721520.45,0.19282954130546698,0.807170458694533,,
38919.0,18300.0,0.05,0.01,0.323,11714733.74,0.19323769670212473,0.8067623032978752,217852.45439067064,299.9201249103037
38999.0,18300.0,0.07,0.026,0.323,11707841.682,0.19364458865327,0.8063554113467299,,
39079.0,18300.0,0.06,0.012,0.323,11700844.568,0.19405015823446406,0.805949841765536,445612.60779684345,304.8200114491842
39159.0,18300.0,0.07,0.021,0.323,11693742.683,0.19445434642252105,0.805545653577479,,
39238.0,18300.0,0.07,0.021,0.323,11693742.683,0.19445434642252105,0.805545653577479,650082.8587881282,284.06035867852944
39318.0,18300.0,0.03,0.003,0.323,11686536.305,0.1948570941011368,0.8051429058988632,,
39398.0,18300.0,0.07,0.018,0.322,11679225.704,0.1952583420667906,0.8047416579332094,406680.68768794305,283.9723561453108
39478.0,18300.0,0.07,0.017,0.322,11671811.146,0.19565803103407428,0.8043419689659257,,
39558.0,18300.0,0.06,0.014,0.322,11664292.887,0.1960561016416719,0.8039438983583281,471253.90904580156,264.99101119906413
39638.0,18300.0,0.06,0.014,0.322,11664292.887,0.1960561016416719,0.8039438983583281,,
39718.0,18300.0,0.07,0.02,0.322,11656671.178,0.19645249445779225,0.8035475055422078,1104569.1880796605,320.18239731155035
39798.0,18300.0,0.05,0.009,0.322,11648946.26,0.1968471499859824,0.8031528500140176,,
39878.0,18300.0,0.06,0.017,0.322,11641118.369,0.19724000867079633,0.8027599913292036,703501.6118091146,271.5548691951626
39958.0,18300.0,0.08,0.03,0.321,11633187.731,0.19763101090354765,0.8023689890964524,,
40038.0,18300.0,0.08,0.03,0.321,11633187.731,0.19763101090354765,0.8023689890964524,1103413.5084572094,276.7624177302056
40118.0,18300.0,0.06,0.014,0.321,11625154.567,0.19802009702797474,0.8019799029720253,,
40197.0,18300.0,0.06,0.014,0.321,11617019.085,0.19840720734619471,0.8015927926538053,648932.1836473631,391.47011485129497
40277.0,18300.0,0.05,0.008,0.321,11608781.49,0.1987922821244219,0.8012077178755781,,
40357.0,18300.0,0.05,0.008,0.321,11600441.975,0.19917526159895504,0.800824738401045,666165.8557066205,225.29819054501775
40437.0,18300.0,0.05,0.008,0.321,11600441.975,0.19917526159895504,0.800824738401045,,
40517.0,18300.0,0.08,0.026,0.321,11592000.726,0.1995560859821123,0.8004439140178877,753158.4336191944,324.3624946514418
40597.0,18300.0,0.06,0.013,0.32,11583457.919,0.19993469546835416,0.8000653045316458,,
40677.0,18300.0,0.08,0.032,0.32,11574813.723,0.20031103024025665,0.7996889697597434,479664.94012612413,366.77846241986396
40757.0,18300.0,0.04,0.007,0.32,11566068.296,0.20068503047481162,0.7993149695251884,,
40837.0,18300.0,0.04,0.007,0.32,11566068.296,0.20068503047481162,0.7993149695251884,1846224.2927861998,392.2435316655626
40917.0,18300.0,0.06,0.015,0.32,11557221.789,0.20105663634985016,0.7989433636501498,,
40997.0,18300.0,0.07,0.024,0.32,11548274.341,0.2014257880502256,0.7985742119497744,792116.4432740363,263.46372597239423
41077.0,18300.0,0.05,0.009,0.32,11539226.083,0.2017924257744344,0.7982075742255657,,
41156.0,18300.0,0.08,0.037,0.319,11530077.139,0.20215648974124145,0.7978435102587585,797550.2746216271,263.98589482030826
41236.0,18300.0,0.08,0.037,0.319,11530077.139,0.20215648974124145,0.7978435102587585,,
41316.0,18300.0,0.06,0.011,0.319,11520827.618,0.20251792019649567,0.7974820798035043,697560.5661396988,268.7797123814518
41396.0,18300.0,0.08,0.026,0.319,11511477.623,0.2028766574199046,0.7971233425800954,,
41476.0,18300.0,0.05,0.012,0.319,11502027.248,0.2032326417321644,0.7967673582678356,304649.669517688,329.32431861525185
41556.0,18300.0,0.07,0.018,0.319,11492476.574,0.2035858135020917,0.7964141864979083,,
41636.0,18300.0,0.07,0.018,0.319,11492476.574,0.2035858135020917,0.7964141864979083,1420677.387162076,335.2787220503765
41716.0,18300.0,0.06,0.015,0.319,11482825.673,0.20393611315402957,0.7960638868459704,,
41796.0,18300.0,0.06,0.015,0.318,11473074.609,0.20428348117513645,0.7957165188248636,922355.3063313428,274.6547088571674
41876.0,18300.0,0.08,0.031,0.318,11463223.434,0.20462785812343248,0.7953721418765676,,
41956.0,18300.0,0.05,0.01,0.318,11453272.189,0.20496918463518388,0.7950308153648161,510944.8165304537,276.62136062211187
42036.0,18300.0,0.05,0.01,0.318,11453272.189,0.20496918463518388,0.7950308153648161,,
42115.0,18300.0,0.07,0.02,0.318,11443220.907,0.20530740143335843,0.7946925985666415,641986.314777765,289.88960071158687
42195.0,18300.0,0.09,0.033,0.318,11433069.61,0.205642449335559,0.794357550664441,,
42275.0,18300.0,0.07,0.021,0.317,11422818.31,0.20597426926267956,0.7940257307373204,674801.3416582898,352.99123114275073
42355.0,18300.0,0.07,0.024,0.317,11412467.006,0.20630280224730585,0.7936971977526941,,
42435.0,18300.0,0.07,0.024,0.317,11412467.006,0.20630280224730585,0.7936971977526941,856915.4882619685,239.75147722003226
42515.0,18300.0,0.05,0.01,0.317,11402015.692,0.20662798944281074,0.7933720105571893,,
42595.0,18300.0,0.08,0.029,0.317,11391464.347,0.2069497721322225,0.7930502278677776,688671.0406646987,315.8753439876239
42675.0,18300.0,0.06,0.013,0.317,11380812.942,0.207268091737682,0.792731908262318,,
42755.0,18300.0,0.08,0.019,0.317,11370061.438,0.20758288982990658,0.7924171101700934,1165187.6687047903,325.1348982140374
