easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
87600.0,14400.0,0.07,0.02,0.325,9434228.277,0.05795540133488358,0.9420445986651165,1235916.255611654,264.85366541827364
87642.0,14400.0,0.07,0.02,0.325,9434228.277,0.05795540133488358,0.9420445986651165,,
87685.0,14400.0,0.07,0.017,0.326,9455546.901,0.05777322887913803,0.942226771120862,,
87727.0,14400.0,0.07,0.017,0.326,9455546.901,0.05777322887913803,0.942226771120862,830967.6852164923,299.89564609601064
87770.0,14400.0,0.07,0.026,0.326,9476708.682,0.057589852744928484,0.9424101472550716,,
87812.0,14400.0,0.07,0.026,0.326,9476708.682,0.057589852744928484,0.9424101472550716,,
87854.0,14400.0,0.08,0.021,0.326,9497710.521,0.05740521844644945,0.9425947815535506,460671.76649432775,362.0288275416251
87897.0,14400.0,0.08,0.021,0.326,9497710.521,0.05740521844644945,0.9425947815535506,,
87939.0,14400.0,0.08,0.021,0.326,9497710.521,0.05740521844644945,0.9425947815535506,,
87982.0,14400.0,0.07,0.021,0.326,9518549.36,0.057219272103650076,0.9427807278963499,662544.2242588903,342.2130053906629
88024.0,14400.0,0.07,0.021,0.326,9518549.36,0.057219272103650076,0.9427807278963499,,
88066.0,14400.0,0.08,0.019,0.326,9539222.19,0.05703196058716885,0.9429680394128311,,
88109.0,14400.0,0.08,0.019,0.326,9539222.19,0.05703196058716885,0.9429680394128311,1447380.2555912095,355.46915926179696
88151.0,14400.0,0.09,0.037,0.326,9559726.055,0.05684323167032761,0.9431567683296724,,
88194.0,14400.0,0.09,0.037,0.326,9559726.055,0.05684323167032761,0.9431567683296724,,
88236.0,14400.0,0.09,0.037,0.326,9559726.055,0.05684323167032761,0.9431567683296724,875748.8231510883,198.93388848982266
88278.0,14400.0,0.05,0.01,0.326,9580058.059,0.05665303418676986,0.9433469658132302,,
88321.0,14400.0,0.05,0.01,0.326,9580058.059,0.05665303418676986,0.9433469658132302,,
88363.0,14400.0,0.05,0.009,0.326,9600215.376,0.056461318192983175,0.9435386818070168,2072789.4517968893,369.0298543210037
88405.0,14400.0,0.05,0.009,0.326,9600215.376,0.056461318192983175,0.9435386818070168,,
88448.0,14400.0,0.05,0.009,0.326,9600215.376,0.056461318192983175,0.9435386818070168,,
88490.0,14400.0,0.09,0.038,0.326,9620195.253,0.05626803513478037,0.9437319648652196,490639.7733566533,348.0106816251675
88533.0,14400.0,0.09,0.038,0.326,9620195.253,0.05626803513478037,0.9437319648652196,,
88575.0,14400.0,0.05,0.008,0.327,9639995.019,0.056073138016654644,0.9439268619833454,,
88617.0,14400.0,0.05,0.008,0.327,9639995.019,0.056073138016654644,0.9439268619833454,394383.42800420476,376.36885079833803
88660.0,14400.0,0.07,0.02,0.327,9659612.094,0.0558765815729397,0.9441234184270603,,
88702.0,14400.0,0.07,0.02,0.327,9659612.094,0.0558765815729397,0.9441234184270603,,
88745.0,14400.0,0.07,0.02,0.327,9659612.094,0.0558765815729397,0.9441234184270603,247857.77887829652,234.31091539389155
88787.0,14400.0,0.09,0.039,0.327,9679043.995,0.055678322438987723,0.9443216775610123,,
88829.0,14400.0,0.09,0.039,0.327,9679043.995,0.055678322438987723,0.9443216775610123,,
88872.0,14400.0,0.04,0.006,0.327,9698288.341,0.05547831932103993,0.94452168067896,684611.8485868011,207.26882430915194
88914.0,14400.0,0.04,0.006,0.327,9698288.341,0.05547831932103993,0.94452168067896,,
88957.0,14400.0,0.07,0.018,0.327,9717342.865,0.055276533163461664,0.9447234668365383,,
88999.0,14400.0,0.07,0.018,0.327,9717342.865,0.055276533163461664,0.9447234668365383,859045.2017576804,270.8863135591022
89041.0,14400.0,0.07,0.018,0.327,9717342.865,0.055276533163461664,0.9447234668365383,,
89084.0,14400.0,0.07,0.015,0.327,9736205.417,0.055072927311104115,0.9449270726888959,,
89126.0,14400.0,0.07,0.015,0.327,9736205.417,0.055072927311104115,0.9449270726888959,533751.1366918895,316.87799314856153
89169.0,14400.0,0.06,0.016,0.327,9754873.972,0.05486746766537192,0.9451325323346281,,
89211.0,14400.0,0.06,0.016,0.327,9754873.972,0.05486746766537192,0.9451325323346281,,
89253.0,14400.0,0.08,0.03,0.327,9773346.636,0.054660122832294045,0.945339877167706,531785.5721996834,305.47017324322627
89296.0,14400.0,0.08,0.03,0.327,9773346.636,0.054660122832294045,0.945339877167706,,
89338.0,14400.0,0.08,0.03,0.327,9773346.636,0.054660122832294045,0.945339877167706,,
89381.0,14400.0,0.05,0.01,0.327,9791621.654,0.05445086426062456,0.9455491357393755,463708.83722844644,319.95176505185515
89423.0,14400.0,0.05,0.01,0.327,9791621.654,0.05445086426062456,0.9455491357393755,,
89465.0,14400.0,0.11,0.053,0.327,9809697.411,0.05423966636832845,0.9457603336316716,,
89508.0,14400.0,0.11,0.053,0.327,9809697.411,0.05423966636832845,0.9457603336316716,891968.7425965217,335.66943193375243
89550.0,14400.0,0.06,0.01,0.328,9827572.443,0.05402650665587748,0.9459734933441225,,
89593.0,14400.0,0.06,0.01,0.328,9827572.443,0.05402650665587748,0.9459734933441225,,
89635.0,14400.0,0.06,0.01,0.328,9827572.443,0.05402650665587748,0.9459734933441225,133099.49911914935,261.91794487200787
89677.0,14400.0,0.08,0.034,0.328,9845245.435,0.0538113658045583,0.9461886341954417,,
89720.0,14400.0,0.08,0.034,0.328,9845245.435,0.0538113658045583,0.9461886341954417,,
89762.0,14400.0,0.07,0.023,0.328,9862715.228,0.053594227759197324,0.9464057722408027,835299.719172696,301.4000213363486
89805.0,14400.0,0.07,0.023,0.328,9862715.228,0.053594227759197324,0.9464057722408027,,
89847.0,14400.0,0.07,0.023,0.328,9862715.228,0.053594227759197324,0.9464057722408027,,
89889.0,14400.0,0.09,0.034,0.328,9879980.821,0.05337507979305384,0.9466249202069461,1023940.7044262515,257.95621327664685
89932.0,14400.0,0.09,0.034,0.328,9879980.821,0.05337507979305384,0.9466249202069461,,
89974.0,14400.0,0.05,0.007,0.328,9897041.374,0.0531539125548969,0.9468460874451031,,
90016.0,14400.0,0.05,0.007,0.328,9897041.374,0.0531539125548969,0.9468460874451031,1560395.3146036563,215.78682214105987
