easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
49900.0,29600.0,0.06,0.015,0.315,9572314.117,0.2559224444822005,0.7440775555177995,565514.1822101589,255.2862338724407
49991.0,29600.0,0.08,0.023,0.315,9558270.736,0.2561949539500362,0.7438050460499638,,
50083.0,29600.0,0.08,0.029,0.315,9544606.886,0.25645042261023465,0.7435495773897653,,
50174.0,29600.0,0.06,0.017,0.315,9531316.455,0.25668908927502,0.74331091072498,934261.8769385219,254.39546066258296
50266.0,29600.0,0.08,0.021,0.315,9518382.316,0.25691158181148444,0.7430884181885156,,
50357.0,29600.0,0.05,0.01,0.315,9505782.958,0.25711868295847023,0.7428813170415298,,
50449.0,29600.0,0.05,0.01,0.315,9505782.958,0.25711868295847023,0.7428813170415298,752113.9041341566,311.4148449686252
50540.0,29600.0,0.07,0.019,0.314,9493497.31,0.2573111605801461,0.7426888394198539,,
50632.0,29600.0,0.08,0.024,0.314,9481506.692,0.2574896985428667,0.7425103014571333,,
50723.0,29600.0,0.09,0.031,0.314,9469795.12,0.25765488602244263,0.7423451139775574,755728.9214616333,351.3853082371296
50815.0,29600.0,0.07,0.019,0.314,9458349.006,0.25780722819559343,0.7421927718044066,,
50906.0,29600.0,0.08,0.028,0.314,9447156.731,0.25794716121080785,0.7420528387891921,,
50997.0,29600.0,0.07,0.019,0.314,9436208.261,0.2580750657418604,0.7419249342581395,735607.517666037,374.155834082374
51089.0,29600.0,0.07,0.023,0.314,9425494.835,0.2581912779061637,0.7418087220938363,,
51180.0,29600.0,0.06,0.02,0.313,9415008.73,0.2582960977336048,0.7417039022663952,,
51272.0,29600.0,0.06,0.015,0.313,9404743.072,0.2583897956810739,0.7416102043189261,897922.0848737768,234.47683620193084
51363.0,29600.0,0.06,0.013,0.313,9394691.694,0.2584726176654823,0.7415273823345176,,
51455.0,29600.0,0.07,0.02,0.313,9384849.025,0.2585447889901743,0.7414552110098257,,
51546.0,29600.0,0.07,0.02,0.313,9384849.025,0.2585447889901743,0.7414552110098257,685090.7221894672,322.0168719363213
51638.0,29600.0,0.06,0.02,0.313,9375210.002,0.2586065174449024,0.7413934825550976,,
51729.0,29600.0,0.06,0.02,0.313,9365770.0,0.2586579957842954,0.7413420042157046,,
51821.0,29600.0,0.06,0.017,0.313,9356524.775,0.2586994037335812,0.7413005962664188,736725.5994595737,269.63386726223735
51912.0,29600.0,0.09,0.034,0.312,9347470.415,0.2587309096310556,0.7412690903689444,,
52003.0,29600.0,0.07,0.023,0.312,9338603.305,0.2587526717874246,0.7412473282125753,,
52095.0,29600.0,0.07,0.022,0.312,9329920.091,0.25876483962270364,0.7412351603772964,689117.1526882036,277.7800512662643
52186.0,29600.0,0.08,0.031,0.312,9321417.656,0.25876755462544215,0.7412324453745578,,
52278.0,29600.0,0.08,0.029,0.312,9313093.094,0.2587609511691513,0.7412390488308487,,
52369.0,29600.0,0.07,0.019,0.312,9304943.692,0.2587451572127028,0.7412548427872971,1358292.9599364966,237.59666142325736
52461.0,29600.0,0.09,0.027,0.312,9296966.91,0.2587202949053297,0.7412797050946702,,
