easting,northing,porosity,permeability,Poisson's ratio,Young's Modulus,water saturation,oil saturation,proppant weight (lbs),pump rate (cubic feet/min)
87800.0,91500.0,0.04,0.008,0.284,7547176.623,0.13554848176488274,0.8644515182351172,545915.1198133964,339.79809445629735
87852.0,91500.0,0.05,0.009,0.284,7527558.367,0.1342025677069291,0.8657974322930709,,
87903.0,91500.0,0.05,0.009,0.284,7527558.367,0.1342025677069291,0.8657974322930709,,
87955.0,91500.0,0.03,0.003,0.284,7508056.869,0.1328668686594945,0.8671331313405055,792738.5837234262,278.0744191413793
88007.0,91500.0,0.03,0.003,0.284,7508056.869,0.1328668686594945,0.8671331313405055,,
88058.0,91500.0,0.04,0.003,0.283,7488676.789,0.13154178979297415,0.8684582102070258,,
88110.0,91500.0,0.04,0.003,0.283,7488676.789,0.13154178979297415,0.8684582102070258,618986.7140588069,310.1304937589933
88162.0,91500.0,0.04,0.008,0.283,7469422.96,0.13022775245748527,0.8697722475425147,,
88213.0,91500.0,0.04,0.008,0.283,7469422.96,0.13022775245748527,0.8697722475425147,,
88265.0,91500.0,0.05,0.007,0.283,7450300.392,0.12892519468177857,0.8710748053182215,647403.1445765817,210.5548806499715
88317.0,91500.0,0.05,0.007,0.283,7450300.392,0.12892519468177857,0.8710748053182215,,
88368.0,91500.0,0.03,0.003,0.283,7431314.277,0.12763457149293167,0.8723654285070683,,
88420.0,91500.0,0.03,0.003,0.283,7431314.277,0.12763457149293167,0.8723654285070683,1397831.6298512209,239.5705833769826
88472.0,91500.0,0.04,0.005,0.283,7412469.987,0.1263563549766747,0.8736436450233254,,
88524.0,91500.0,0.04,0.005,0.283,7412469.987,0.1263563549766747,0.8736436450233254,,
88575.0,91500.0,0.02,0.002,0.283,7393773.075,0.12509103397506827,0.8749089660249317,1198836.5355110026,299.2186110960074
88627.0,91500.0,0.02,0.002,0.283,7393773.075,0.12509103397506827,0.8749089660249317,,
88679.0,91500.0,0.05,0.009,0.283,7375229.262,0.12383911329326178,0.8761608867067382,,
88730.0,91500.0,0.05,0.009,0.283,7375229.262,0.12383911329326178,0.8761608867067382,797769.1532683055,289.58560011767025
88782.0,91500.0,0.05,0.008,0.283,7356844.424,0.12260111225876695,0.8773988877412331,,
88834.0,91500.0,0.05,0.008,0.283,7356844.424,0.12260111225876695,0.8773988877412331,,
88885.0,91500.0,0.03,0.003,0.283,7338624.565,0.12137756245032578,0.8786224375496742,1075302.5695102816,304.7042633395722
88937.0,91500.0,0.03,0.003,0.283,7338624.565,0.12137756245032578,0.8786224375496742,,
88989.0,91500.0,0.02,0.002,0.283,7320575.783,0.12016900439145217,0.8798309956085478,,
89040.0,91500.0,0.02,0.002,0.283,7320575.783,0.12016900439145217,0.8798309956085478,630918.846793563,306.0852249751732
89092.0,91500.0,0.03,0.003,0.282,7302704.221,0.11897598299522265,0.8810240170047774,,
89144.0,91500.0,0.03,0.003,0.282,7302704.221,0.11897598299522265,0.8810240170047774,,
89195.0,91500.0,0.01,0.001,0.282,7285015.997,0.11779904156069479,0.8822009584393052,1259709.9584036993,320.65774997619064
89247.0,91500.0,0.01,0.001,0.282,7285015.997,0.11779904156069479,0.8822009584393052,,
89299.0,91500.0,0.04,0.006,0.282,7267517.128,0.1166387141710042,0.8833612858289958,,
89350.0,91500.0,0.02,0.002,0.282,7250213.421,0.11549551644034078,0.8845044835596592,1130421.7849972132,333.6120053108961
89402.0,91500.0,0.02,0.002,0.282,7250213.421,0.11549551644034078,0.8845044835596592,,
89454.0,91500.0,0.03,0.004,0.282,7233110.361,0.11436993471208998,0.88563006528791,,
89505.0,91500.0,0.03,0.004,0.282,7233110.361,0.11436993471208998,0.88563006528791,1117762.2043865013,245.33416368581632
89557.0,91500.0,0.01,0.0,0.282,7216212.98,0.11326241402198296,0.886737585978017,,
89609.0,91500.0,0.01,0.0,0.282,7216212.98,0.11326241402198296,0.886737585978017,,
89660.0,91500.0,0.03,0.004,0.282,7199525.712,0.11217334539080845,0.8878266546091915,486365.39890200994,342.55772548216584
89712.0,91500.0,0.03,0.004,0.282,7199525.712,0.11217334539080845,0.8878266546091915,,
89764.0,91500.0,0.04,0.006,0.282,7183052.265,0.11110305326345209,0.888896946736548,,
89816.0,91500.0,0.04,0.006,0.282,7183052.265,0.11110305326345209,0.888896946736548,1041983.32463005,294.41831937314316
89867.0,91500.0,0.04,0.005,0.282,7166795.489,0.11005178410401202,0.8899482158959879,,
89919.0,91500.0,0.04,0.005,0.282,7166795.489,0.11005178410401202,0.8899482158959879,,
89971.0,91500.0,0.03,0.003,0.281,7150757.279,0.10901969722722026,0.8909803027727797,1036285.7224983531,305.17818483203274
90022.0,91500.0,0.03,0.003,0.281,7150757.279,0.10901969722722026,0.8909803027727797,,
90074.0,91500.0,0.03,0.004,0.281,7134938.51,0.10800685884044156,0.8919931411595584,,
90126.0,91500.0,0.03,0.004,0.281,7134938.51,0.10800685884044156,0.8919931411595584,515414.27154268534,318.472771787219
90177.0,91500.0,0.05,0.01,0.281,7119339.015,0.10701323997862236,0.8929867600213777,,
90229.0,91500.0,0.05,0.01,0.281,7119339.015,0.10701323997862236,0.8929867600213777,,
90281.0,91500.0,0.01,0.001,0.281,7103957.606,0.10603871857758346,0.8939612814224165,297111.40214117436,300.8551053068352
90332.0,91500.0,0.01,0.001,0.281,7103957.606,0.10603871857758346,0.8939612814224165,,
90384.0,91500.0,0.02,0.001,0.281,7088792.14,0.10508308544027656,0.8949169145597234,,
